004452a.dat	=Sticker Minifig Torso with Yellow Buttons and Grey Belt
004452b.dat	Sticker  1.1 x  1.9 with Black Number "1" on Yellow Background
004452c.dat	Sticker  1.1 x  1.9 with Black Number "2" on Yellow Background
004452d.dat	Sticker  1.1 x  7.9 with Black "FIRE STATION" on Yellow Background
004452e.dat	=Sticker  1 x  1 Fire Emblem
004452f.dat	=Sticker  2.4 x  3.0 with Lego Logo with Closed "O"
004462a.dat	Sticker  3.9 x  3.9 Round with Black "1" on White Background
004462b.dat	Sticker  2.3 x  3.9 Rounded Rectangle with Black "1" on White Background
004462c.dat	Sticker  1.1 x  1.1 with LEGO Logo
004462d.dat	Sticker  2.1 x  9.9 with "Shell" and Shell Logos 1971
004462e.dat	Sticker  1.1 x  1.1 with Shell Logo 1971
004486a.dat	Sticker  0.7 x  1.6 with United States Flag
004488a.dat	Sticker  1 x  4.5 with Black "TRANSPORT" on Yellow Background
004488b.dat	Sticker  1.1 x  5.1 with Black "COMPANY" Sign on Red Background
004488c.dat	Sticker  1 x  6 with White "POLICE" on Blue Background
004488d.dat	Sticker  1.2 x  6.6 with Black "M/S UNION" on Red Background
004488e.dat	Sticker  2.3 x  2.3 Round with Lifepreserver
004488f.dat	Sticker  1.1 x  3 with  3 Black Spots on White Background
004488g.dat	Sticker  1.5 x  1.6 with Black Anchor on Red Background
004490a.dat	Sticker  2.3 x  6.0 with "WELLS FARGO" Sign
004490b.dat	Sticker  3.4 x  6.3 with "Sheriff" Sign
004490c.dat	Sticker  2.0 x  5.0 with "PONY EXPRESS" Sign
004490d.dat	Sticker  3.4 x  6.0 with "$" and "BANK" Sign
004490e.dat	Sticker  1.5 x  6.3 with "HOTEL" Sign
004490f.dat	Sticker  2.9 x  4.8 with "GENERAL STORE" Sign
004490g.dat	Sticker  3.7 x  5.9 with "SALOON" Sign
004490h.dat	Sticker  2.3 x  1.8 with "WANTED DEAD OR ALIVE" Sign
004490i.dat	Sticker  2.5 x  4.5 with "DOC. HOLIDAY's Snakeoil" Sign
004511a.dat	Sticker  2.4 x  3 with Red Cross Logo
004511b.dat	Sticker  0.8 x  0.8 with Red Cross Logo
004511c.dat	Sticker  1 x  6 with White "Hospital" on Red
004585a.dat	Sticker Minifig Torso with White Buttons and Police Badge Plain
004587a.dat	Sticker  1.2 x  2.6 with White "133" on Black
004589a.dat	Sticker  2.3 x  2.3 with Clock Hands 10:06:32 on Red Background
004589b.dat	Sticker  1.1 x  1.1 with Black Arrow on White Background
004589c.dat	Sticker  1.1 x  1.1 with Black Telephone on White Background
004589d.dat	Sticker  1.1 x  1.1 with Black Suitcase and Key Symbol on White Background
004589e.dat	Sticker  1.1 x  1.1 with Black "1" on White Background
004589f.dat	Sticker  1.1 x  1.1 with Black "2" on White Background
004589g.dat	Sticker  1.1 x  7.9 with Black "CENTRAL STATION" on White Background
004589h.dat	Sticker  1.1 x  3.3 with Black "Bistro" on Blue Background
004589i.dat	Sticker  1.1 x  2.2 with Black "Taxi" on White Background
004589j.dat	Sticker  1.1 x  5.9 with Black "Restaurant" on Yellow Background
004595a.dat	=Sticker Minifig Torso with White Buttons and Police Badge Plain
004595b.dat	Sticker  1.1 x  1.1 Round with Black "9" on White
004608a.dat	=Sticker Minifig Torso with Yellow Buttons and Grey Belt
004608b.dat	=Sticker  1 x  1 Fire Emblem
004612a.dat	Sticker  1.1 x  3.9 with White "Cadillac" on Black Background
004613a.dat	Sticker  1.1 x  3.9 with White "RENAULT" on Black Background
004630a.dat	Sticker  1.2 x  3 with "Spirit of St. Louis" Right
004630b.dat	Sticker  1.2 x  3 with "Spirit of St. Louis" Left
004631a.dat	Sticker  1.8 x  1.8 with Red Cross Logo
004631b.dat	=Sticker  0.8 x  0.8 with Red Cross Logo
004631c.dat	Sticker  1 x  3.5 with Red "L-386"
004632a.dat	Sticker  0.9 x  0.9 Round with Lifepreserver
004632b.dat	=Sticker  2.3 x  2.3 Round with Lifepreserver
004655a.dat	=Sticker 1.0 x 1.5 with Shell Logo
004655b.dat	=Sticker Minifig Torso with Shell Logo 1971
004656a.dat	Sticker  1.6 x  1.3 with  5 Yellow/Black Chevrons Upwards
004659a.dat	Sticker  1 x  1 Fire Emblem
004659b.dat	=Sticker Minifig Torso with Yellow Buttons and Grey Belt
004659c.dat	Sticker  2.3 x  2.3 Round with Clock Hands 10:06:32
004659d.dat	=Sticker  2.4 x  3 with United States Flag
004659e.dat	=Sticker  2.4 x  3 with United States Flag (Mirrored)
004659f.dat	Sticker  1.1 x  1.9 with White Number "1" on Red Background
004659g.dat	Sticker  1.1 x  1.9 with White Number "2" on Red Background
004659h.dat	Sticker  1.1 x 7.9 with White "ENGINE Co. No. 9" on Red Background
004677a.dat	Sticker  2.1 x 12.5 with "THATCHER PERKINS" sign
004677b.dat	Sticker  2.1 x  3.9 with "396"
004690a.dat	Sticker  2.6 x  6 with White/Red/Blue Stripes
004690ac01.dat	Sticker  2.6 x  6 with White/Red/Blue Stripes (Formed)
004690b.dat	Sticker  1.2 x  2 with TV Screen with Western Scene
